# ratings of documents by expert and novice judges
"ID" "annID" "docID" "round" "presentation.order" "rating" "ranking" "Naive.Expert"
"246" "subj66" "doc101" 25 6 3 10 "expert"
"247" "subj66" "doc281" 25 7 4 5 "expert"
"248" "subj66" "doc512" 25 8 5 2 "expert"
"249" "subj66" "doc301" 25 9 4 8 "expert"
"250" "subj66" "doc447" 25 10 4 3 "expert"
"251" "subj66" "doc272" 26 1 4 5 "expert"
"252" "subj66" "doc087" 26 2 3 9 "expert"
"253" "subj66" "doc464" 26 3 4 4 "expert"
"254" "subj66" "doc386" 26 4 2 10 "expert"
"255" "subj66" "doc239" 26 5 5 1 "expert"
"256" "subj66" "doc461" 26 6 4 6 "expert"
"257" "subj66" "doc001" 26 7 5 2 "expert"
"258" "subj66" "doc194" 26 8 4 8 "expert"
"259" "subj66" "doc113" 26 9 4 7 "expert"
"260" "subj66" "doc470" 26 10 5 3 "expert"
"261" "subj66" "doc459" 27 1 5 1 "expert"
"262" "subj66" "doc059" 27 2 4 7 "expert"
"263" "subj66" "doc484" 27 3 4 4 "expert"
"264" "subj66" "doc436" 27 4 3 6 "expert"
"265" "subj66" "doc269" 27 5 3 5 "expert"
"266" "subj66" "doc524" 27 6 2 9 "expert"
"267" "subj66" "doc049" 27 7 4 3 "expert"
"268" "subj66" "doc255" 27 8 2 10 "expert"
"269" "subj66" "doc104" 27 9 4 2 "expert"
"270" "subj66" "doc449" 27 10 3 8 "expert"
"271" "subj66" "doc333" 28 1 4 2 "expert"
"272" "subj66" "doc195" 28 2 3 4 "expert"
"273" "subj66" "doc107" 28 3 5 1 "expert"
"274" "subj66" "doc231" 28 4 4 3 "expert"
"275" "subj66" "doc429" 28 5 3 7 "expert"
"276" "subj66" "doc125" 28 6 1 10 "expert"
"277" "subj66" "doc428" 28 7 3 9 "expert"
"278" "subj66" "doc426" 28 8 4 5 "expert"
"279" "subj66" "doc119" 28 9 3 8 "expert"
"280" "subj66" "doc376" 28 10 4 6 "expert"
